Complaint,Category,Subcategory,Priority
Something isn't right with the power outage Needs attention.,Electrical Issues,Power Outage,Low
Power Outage is not functioning well Please fix it.,Electrical Issues,Power Outage,Low
There is an issue with the power outage Needs quick inspection.,Electrical Issues,Power Outage,Medium
I saw a small problem in the power outage Needs attention.,Electrical Issues,Power Outage,Low
Power Outage is slightly malfunctioning Please fix it.,Electrical Issues,Power Outage,Low
Reported a minor issue in power outage Needs quick inspection.,Electrical Issues,Power Outage,High
Something isn't right with the power outage.,Electrical Issues,Power Outage,Medium
I saw a small problem in the power outage Needs urgent review.,Electrical Issues,Power Outage,Critical
Power Outage is slightly malfunctioning.,Electrical Issues,Power Outage,Low
Power Outage seems broken.,Electrical Issues,Power Outage,Medium
There is an issue with the power outage,Electrical Issues,Power Outage,Medium
Power Outage is slightly malfunctioning Needs quick inspection.,Electrical Issues,Power Outage,Low
Power Outage has minor problems.,Electrical Issues,Power Outage,Critical
Reported a minor issue in power outage Not working as it should.,Electrical Issues,Power Outage,Critical
Power Outage is not functioning well,Electrical Issues,Power Outage,Critical
Power Outage has minor problems Needs quick inspection.,Electrical Issues,Power Outage,Low
Power Outage is not functioning well Needs attention.,Electrical Issues,Power Outage,Medium
Something isn't right with the power outage Needs urgent review.,Electrical Issues,Power Outage,High
Power Outage has minor problems Might be dangerous.,Electrical Issues,Power Outage,Critical
Power Outage seems broken Needs urgent review.,Electrical Issues,Power Outage,High
There is an issue with the power outage Needs attention.,Electrical Issues,Power Outage,Critical
The power outage needs attention Needs urgent review.,Electrical Issues,Power Outage,Medium
There is an issue with the power outage.,Electrical Issues,Power Outage,Critical
The power outage is not working Can someone check?,Electrical Issues,Power Outage,High
The power outage is not working Urgent check needed.,Electrical Issues,Power Outage,Critical
Power Outage has minor problems Please fix it.,Electrical Issues,Power Outage,Low
Power Outage seems broken Needs attention.,Electrical Issues,Power Outage,High
Power Outage has minor problems Urgent check needed.,Electrical Issues,Power Outage,Critical
There is an issue with the power outage Not working as it should.,Electrical Issues,Power Outage,Critical
There is an issue with the power outage Can someone check?,Electrical Issues,Power Outage,High
Power Outage is slightly malfunctioning Urgent check needed.,Electrical Issues,Power Outage,Medium
The power outage is not working Might be dangerous.,Electrical Issues,Power Outage,Critical
Power Outage is not functioning well Can someone check?,Electrical Issues,Power Outage,Low
Something isn't right with the power outage Please fix it.,Electrical Issues,Power Outage,Critical
I saw a small problem in the power outage Can someone check?,Electrical Issues,Power Outage,Low
